W;S;OT;WT;G;LM;OM3
2;8618;38,4;351,1111111;466,25;278,3333333;50,625
2;8618;4,5;287,875;30,66666667;357,6;2
2;8618;52;726,6666667;678,75;549,1666667;68,4375
2;8618;36;216,125;277,3333333;296,4;17,33333333
2;8618;191,28;133,7777778;0;0;0
2;8618;102,75;10,4125;0;0;0
2;8618;194,32;31,88888889;0;0;0
2;8618;340,5;44,1;0;0;0
2;8618;88;628,8888889;1168,75;525;115,3125
2;8618;87;296,625;648;442,8;43,33333333
2;8618;0;136,6666667;0;91,66666667;0
2;8618;525,6;6,666666667;0;0;0
2;8618;898,65;44,0125;0;0;0
2;8618;410,24;74,44444444;0;0;0
2;8618;236,4;80,2375;0;0;0
2;8618;15,36;17;0;0;0
2;8618;114;152,25;0;0;0
2;8618;42,4;180;0;0;0
2;8618;78;172,375;0;0;0
2;8618;34,4;126,6666667;0;0;0
2;8618;765,15;21,875;0;0;0
2;8618;57,6;181,1111111;0;0;0
2;8618;4,5;4,375;0;0;0
2;8618;44;146,6666667;0;0;0
2;8618;79,5;122,5;0;0;0
2;8618;47,2;138,8888889;0;0;0
2;8618;60;136,5;428;218,4;29,33333333
2;8618;63,2;394,4444444;760;335,8333333;83,4375
2;8618;135;399,875;945,3333333;604,8;66,66666667
2;8618;59,2;372,2222222;720;315;76,875
2;8618;44,8;186,6666667;540;176,6666667;59,0625
2;8618;66;378,875;466,6666667;518,4;32,66666667
2;8618;40;493,3333333;523,75;374,1666667;52,5
2;8618;84;278,25;606,6666667;417,6;42
2;8618;29,6;576,6666667;365;417,5;39,375
2;8618;106,5;483,875;786,6666667;690;52,66666667
2;8618;0;418,8888889;0;281,6666667;0
2;8618;117;573,125;886,6666667;808,8;58
2;8618;207,84;69,55555556;0;0;0
2;8618;276,45;28,4375;0;0;0
2;8618;44,32;112,5555556;0;0;0
2;8618;270,45;24,85;0;0;0
2;8618;29,6;101,1111111;0;0;0
2;8618;72;97,125;0;0;0
2;8618;208,96;193,1111111;0;0;0
2;8618;905,1;2,3625;0;0;0
2;8618;402,64;88;0;0;0
2;8618;136,5;133;0;0;0
2;8618;357,76;75,66666667;0;0;0
2;8618;31,5;52,5;0;0;0
2;8618;36;128,8888889;0;0;0
2;8618;69;133;0;0;0
2;8618;29,6;111,1111111;0;0;0
2;8618;76,5;159,25;605,3333333;261,6;38
2;8618;80;561,1111111;988,75;465;104,0625
2;8618;3;209,125;24;259,2;1,333333333
2;8618;68,8;628,8888889;886,25;502,5;90
2;8618;267,45;73,15;0;0;0
2;8618;1,6;3,333333333;0;0;0
2;8618;87;139,125;0;0;0
2;8618;46,5;460,25;352;607,2;23,33333333
2;8618;9,6;160;125;118,3333333;12,1875
2;8618;360,75;50,225;0;0;0
2;8618;297,28;254,4444444;0;0;0
2;8618;149,1;56,6125;0;0;0
2;8618;88,32;72,55555556;0;0;0
2;8618;153;228,375;0;0;0
2;8618;41,6;124,4444444;0;0;0
2;8618;114;126;0;0;0
2;8618;260,8;74,22222222;0;0;0
2;8618;120,45;6,125;0;0;0
2;8618;222,4;208,2222222;0;0;0
2;8618;76,5;70;0;0;0
2;8618;36,8;173,3333333;0;0;0
2;8618;13,6;100;188,75;82,5;17,8125
2;8618;57;137,375;450,6666667;217,2;28
2;8618;26,4;137,7777778;318,75;122,5;34,6875
2;8618;87;256,375;605,3333333;387,6;42,66666667
2;8618;45,6;382,2222222;577,5;306,6666667;60
2;8618;90;345,625;629,3333333;500,4;44,66666667
2;8618;30,4;397,7777778;385;302,5;39,375
2;8618;76,5;423,5;516;583,2;38
2;8618;84,8;685,5555556;1122,5;560,8333333;111,5625
2;8618;102;476;784;676,8;50,66666667
2;8618;141;485,625;1056;723,6;70
2;8618;0;195,5555556;0;130,8333333;0
2;8618;0;132,125;0;163,2;0
2;8618;89,4;17,675;0;0;0
2;8618;75,36;58,66666667;0;0;0
2;8618;181,2;62,0375;0;0;0
2;8618;80;173,3333333;0;0;0
2;8618;81;112,875;0;0;0
2;8618;49,6;156,6666667;0;0;0
2;8618;225,45;128,8;0;0;0
2;8618;40;188,8888889;0;0;0
2;8618;271,2;48,5625;0;0;0
2;8618;138,64;55,33333333;0;0;0
2;8618;535,35;186,4625;0;0;0
2;8618;23,2;87,77777778;0;0;0
2;8618;52,5;98,875;0;0;0
2;8618;66;104,125;522,6666667;184,8;32,66666667
2;8618;33,6;200;426,25;170,8333333;43,125
2;8618;30;117,25;201,3333333;169,2;14,66666667
